City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
Poum,-20.2333,164.0167,299.68,71,26,4.87,NC,1615590416
George Town,5.4112,100.3354,297.63,94,20,1.54,MY,1615590416
Port Elizabeth,-33.918,25.5701,293.15,94,0,2.4,ZA,1615590355
Ketchikan,55.3422,-131.6461,276.15,60,90,3.09,US,1615590361
Sungai Raya,0.7,108.9,297.46,89,61,2.27,ID,1615590418
Cockburn Town,21.4612,-71.1419,297.68,75,15,9.31,TC,1615590124
Cape Town,-33.9258,18.4232,290.69,94,0,2.06,ZA,1615589582
Mataura,-46.1927,168.8643,290.37,72,1,0.89,NZ,1615590421
Barrow,71.2906,-156.7887,244.15,63,1,6.69,US,1615590421
Aswān,24.0934,32.907,290.01,31,19,6.17,EG,1615590422
Lüderitz,-26.6481,15.1594,292.64,70,0,3.04,NA,1615590423
Opuwo,-18.0607,13.84,293.62,56,35,1.0,NA,1615590424
Andreyevo,55.9465,41.1505,262.85,85,100,6.28,RU,1615590425
Puerto Ayora,-0.7393,-90.3518,301.73,74,20,2.57,EC,1615590334
Banikoara,11.2985,2.4386,299.36,16,28,0.92,BJ,1615590426
Mogzon,51.7435,111.9606,263.19,97,14,0.66,RU,1615590427
Marawi,7.9986,124.2928,296.48,95,99,1.79,PH,1615590428
Jega,12.2175,4.3792,299.46,15,20,2.39,NG,1615590428
Bethel,41.3712,-73.414,286.27,20,1,2.57,US,1615590429
Rikitea,-23.1203,-134.9692,299.66,72,100,2.23,PF,1615590385
Gazli,40.1333,63.45,275.77,88,100,11.26,UZ,1615590430
Pevek,69.7008,170.3133,258.63,95,100,2.51,RU,1615590431
Avarua,-21.2078,-159.775,301.15,78,90,1.54,CK,1615590326
Nelson Bay,-32.7167,152.15,296.74,83,75,2.57,AU,1615590433
Berdigestyakh,62.0989,126.6992,255.43,98,100,2.18,RU,1615590433
Vaini,-21.2,-175.2,298.15,88,75,5.66,TO,1615590434
Zhezkazgan,47.8043,67.7144,251.84,86,12,6.65,KZ,1615590435
Bengkulu,-3.8004,102.2655,296.73,80,97,2.58,ID,1615590224
Bluff,-46.6,168.3333,290.37,72,5,0.89,NZ,1615590436
Gorontalo,0.5412,123.0595,298.51,81,71,0.84,ID,1615590438
Qaanaaq,77.484,-69.3632,254.22,78,99,0.71,GL,1615590439
Saint Paul Harbor,57.79,-152.4072,269.15,39,1,8.75,US,1615590440
