City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
Te Anau,-45.4167,167.7167,291.05,59,17,1.76,NZ,1615590440
Columbus,39.9612,-82.9988,285.58,30,90,5.14,US,1615590326
Punta Arenas,-53.15,-70.9167,285.53,71,75,10.8,CL,1615590363
Yulara,-25.2406,130.9889,296.15,78,90,8.23,AU,1615590442
Port Alfred,-33.5906,26.891,296.91,84,12,8.01,ZA,1615590443
Broken Hill,-31.95,141.4333,300.15,36,15,4.63,AU,1615590444
Chifeng,42.2683,118.9636,273.77,90,5,1.62,CN,1615590445
Tautira,-17.7333,-149.15,303.94,66,40,4.12,PF,1615590445
Arraial do Cabo,-22.9661,-42.0278,299.15,89,75,1.54,BR,1615590446
Mar del Plata,-38.0023,-57.5575,291.26,63,0,3.09,AR,1615590446
Fortuna,40.5982,-124.1573,286.0,82,1,5.66,US,1615590447
Salta,-24.7859,-65.4117,297.15,60,75,3.6,AR,1615590448
Bredasdorp,-34.5322,20.0403,288.15,94,62,1.54,ZA,1615590449
Albany,42.6001,-73.9662,284.18,24,20,6.69,US,1615589922
Basco,20.4487,121.9702,297.52,73,43,9.87,PH,1615590450
Hobart,-42.8794,147.3294,294.45,53,75,6.17,AU,1615590166
Marabu,4.4148,114.0089,298.15,100,40,2.06,MY,1615590452
Provideniya,64.3833,-173.3,270.37,95,100,5.38,RU,1615590452
Saint-Philippe,-21.3585,55.7679,295.11,69,0,3.6,RE,1615590453
Ambilobe,-13.2,49.05,295.91,94,41,0.89,MG,1615590454
Tuktoyaktuk,69.4541,-133.0374,252.15,84,90,9.77,CA,1615590455
Guerrero Negro,27.9769,-114.0611,289.54,48,4,6.85,MX,1615590455
Ampanihy,-24.7,44.75,295.0,77,0,4.55,MG,1615590456
Ahipara,-35.1667,173.1667,295.43,65,9,2.94,NZ,1615590457
Badovinci,44.7858,19.3714,280.93,90,100,1.0,RS,1615590458
Candolim,15.5181,73.7626,299.15,83,40,1.54,IN,1615590458
Thompson,55.7435,-97.8558,269.15,50,40,4.63,CA,1615590459
Mayo,38.8876,-76.5119,289.81,42,1,2.06,US,1615590461
Atambua,-9.1061,124.8925,297.39,81,45,1.08,ID,1615590462
Batemans Bay,-35.7167,150.1833,293.76,91,19,0.89,AU,1615590463
Werda,-25.2667,23.2833,295.46,57,55,2.9,BW,1615590463
Torbay,47.6666,-52.7314,278.27,100,90,15.95,CA,1615590464
Jamestown,42.097,-79.2353,278.71,45,1,7.55,US,1615590431
Shubarshi,48.5872,57.1869,254.03,94,100,2.99,KZ,1615590327
Karagach,43.8053,43.775,264.98,93,90,1.0,RU,1615590467
Iqaluit,63.7506,-68.5145,249.21,64,20,6.17,CA,1615590467
Kaitangata,-46.2817,169.8464,290.75,60,1,0.8,NZ,1615590468
Inuvik,68.3499,-133.7218,251.64,71,100,7.2,CA,1615590469
Hithadhoo,-0.6,73.0833,301.76,62,64,2.61,MV,1615590470
Baykit,61.67,96.37,259.39,95,99,2.34,RU,1615590470
Laguna,38.421,-121.4238,293.32,18,1,6.69,US,1615590471
Buri,-23.7975,-48.5928,294.05,89,1,2.5,BR,1615590472
Anchorage,61.2181,-149.9003,264.41,41,1,1.54,US,1615590240
Cidreira,-30.1811,-50.2056,295.44,75,13,2.41,BR,1615590473
Busselton,-33.65,115.3333,281.48,87,0,5.23,AU,1615590474
Pangnirtung,66.1451,-65.7125,245.15,76,20,0.68,CA,1615590475
Saldanha,-33.0117,17.9442,289.15,88,44,2.06,ZA,1615590476
Okha,53.5739,142.9478,267.77,85,27,5.56,RU,1615590477
Avera,33.194,-82.5271,296.35,36,1,2.57,US,1615590477
Bubaque,11.2833,-15.8333,299.19,63,0,4.86,GW,1615590478
Bandarbeyla,9.4942,50.8122,297.65,74,0,3.45,SO,1615590479
Tiksi,71.6872,128.8694,246.58,96,100,3.41,RU,1615590480
Aklavik,68.2191,-135.0107,252.15,65,75,6.69,CA,1615590480
Tiznit Province,29.5833,-9.5,288.06,56,9,0.13,MA,1615590482
Wajima,37.4,136.9,282.26,90,100,9.1,JP,1615590482
Esperance,-33.8667,121.9,286.15,76,90,2.57,AU,1615590483
East London,-33.0153,27.9116,296.82,86,31,7.57,ZA,1615590485
Ushuaia,-54.8,-68.3,284.15,71,40,7.2,AR,1615590485
Ancud,-41.8697,-73.8203,287.29,77,0,3.09,CL,1615590325
São Francisco de Assis,-29.5503,-55.1311,296.01,43,40,3.16,BR,1615590487
Bintulu,3.1667,113.0333,297.09,94,40,1.54,MY,1615590487
Tuatapere,-46.1333,167.6833,290.37,72,0,0.89,NZ,1615590488
Lompoc,34.6391,-120.4579,285.5,62,1,7.72,US,1615590331
Xiaoshan,30.1675,120.2588,282.59,93,100,2.0,CN,1615590489
Korla,41.7597,86.1469,282.45,40,98,3.23,CN,1615590490
Arcata,40.8665,-124.0828,286.22,81,1,3.09,US,1615590491
Bukit Baru,-3.0118,104.7233,298.15,94,40,1.54,ID,1615590492
Itarema,-2.9248,-39.9167,299.4,79,100,5.43,BR,1615590493
Carnarvon,-24.8667,113.6333,298.15,69,55,6.69,AU,1615590493
Dumas,35.8656,-101.9732,279.15,100,90,5.14,US,1615590495
Touros,-5.1989,-35.4608,300.15,74,0,6.17,BR,1615590495
Nanortalik,60.1432,-45.2371,263.62,69,1,4.37,GL,1615590496
Esim,4.8699,-2.2405,300.41,85,95,3.23,GH,1615590497
Maltahöhe,-24.8333,16.9833,293.96,29,0,3.14,NA,1615590498
Tarko-Sale,64.9225,77.785,255.79,92,100,11.04,RU,1615590498
Berlevåg,70.8578,29.0864,266.15,86,75,7.72,NO,1615590500
Tornio,65.8481,24.1466,267.15,93,90,3.6,FI,1615590501
Turgutlu,38.4953,27.6997,277.09,87,0,1.03,TR,1615590501
Havre-St-Pierre,50.2334,-63.5986,272.15,64,90,18.52,CA,1615590502
Chui,-33.6971,-53.4616,293.33,92,17,4.55,UY,1615590503
Tasiilaq,65.6145,-37.6368,264.15,86,90,1.03,GL,1615590504
Hermanus,-34.4187,19.2345,290.37,92,88,1.34,ZA,1615590504
Catalina,32.5056,-110.9211,288.65,34,32,1.34,US,1615590505
Geraldton,-28.7667,114.6,292.15,63,1,5.66,AU,1615590506
Pierre,44.3683,-100.351,282.67,66,90,2.06,US,1615590507
Comodoro Rivadavia,-45.8667,-67.5,293.15,49,0,3.09,AR,1615590329
Khilok,51.3674,110.4676,267.67,88,0,1.87,RU,1615590508
Mīnāb,27.1467,57.0801,296.15,46,60,5.14,IR,1615590436
Khāsh,28.2211,61.2158,287.02,37,100,3.82,IR,1615590509
Bambous Virieux,-20.3428,57.7575,298.16,73,40,3.09,MU,1615590510
Honningsvåg,70.9821,25.9704,269.94,73,96,5.76,NO,1615590511
Kirakira,-10.4544,161.9205,302.3,68,14,1.84,SB,1615590512
Saint-Pierre,-21.3393,55.4781,296.87,69,0,3.6,RE,1615590512
Scarborough,54.2797,-0.4044,278.15,82,67,3.58,GB,1615590023
Bathsheba,13.2167,-59.5167,298.15,69,40,7.2,BB,1615590514
Mafinga,-7.25,35.0667,290.79,88,83,0.5,TZ,1615590514
Santa Fe,-31.6333,-60.7,300.2,60,93,0.89,AR,1615590405
Kruisfontein,-34.0033,24.7314,293.15,88,69,0.89,ZA,1615590221
Sur,22.5667,59.5289,299.27,38,0,6.37,OM,1615590516
Kouango,4.9934,19.9619,296.8,75,99,1.52,CF,1615590517
Necochea,-38.5473,-58.7368,292.04,60,12,1.34,AR,1615590518
Shimoda,34.6667,138.95,280.93,95,100,6.34,JP,1615590519
Butaritari,3.0707,172.7902,300.48,77,79,6.25,KI,1615590519
Flin Flon,54.7682,-101.865,276.15,44,40,3.6,CA,1615590520
São Filipe,14.8961,-24.4956,294.53,77,3,3.41,CV,1615590521
Orcopampa,-15.2661,-72.3417,281.16,89,97,3.2,PE,1615590522
College,64.8569,-147.8028,251.67,59,1,1.54,US,1615590523
Dunedin,-45.8742,170.5036,288.71,74,0,8.05,NZ,1615590524
Chachapoyas,-6.2317,-77.869,287.92,95,76,0.36,PE,1615590525
Pisco,-13.7,-76.2167,297.44,78,0,3.6,PE,1615590526
Seoul,37.5683,126.9778,276.45,93,20,0.51,KR,1615589804
Brae,60.3964,-1.353,278.15,81,90,9.77,GB,1615590527
Hamilton,39.1834,-84.5333,287.01,33,1,4.12,US,1615590528
Hilo,19.7297,-155.09,297.04,61,90,7.2,US,1615590497
Port Lincoln,-34.7333,135.8667,290.44,67,100,9.91,AU,1615590529
Cajamarca,-7.1638,-78.5003,285.67,97,99,2.38,PE,1615590265
Chapais,49.7834,-74.8492,265.15,79,90,5.66,CA,1615590531
Mpongwe,-13.5091,28.155,290.14,99,100,2.16,ZM,1615590531
San Juan,-31.5375,-68.5364,298.75,53,53,5.66,AR,1615590532
Puri,19.8,85.85,297.15,94,40,2.06,IN,1615590533
Kenitra,34.261,-6.5802,283.15,100,15,0.98,MA,1615590534
Castro,-24.7911,-50.0119,291.72,71,6,1.17,BR,1615590534
Mandurah,-32.55,115.7,287.59,72,9,6.16,AU,1615590380
Vanavara,60.34,102.2797,262.75,89,71,6.13,RU,1615590536
Merauke,-8.4667,140.3333,299.89,84,100,4.84,ID,1615590537
Kachug,53.9606,105.8817,266.94,95,91,1.56,RU,1615590537
Phalodi,27.1333,72.3667,293.39,38,20,2.13,IN,1615590539
Igarka,67.4667,86.5833,248.95,97,98,10.23,RU,1615590539
Nikolskoye,59.7035,30.7861,272.77,93,90,6.0,RU,1615590540
Houma,29.5958,-90.7195,297.48,73,40,6.17,US,1615590541
Beira,-19.8436,34.8389,298.93,83,40,3.09,MZ,1615590542
Waipawa,-41.4122,175.5153,289.88,51,75,3.6,NZ,1615590543
Tucuruí,-3.7661,-49.6725,297.52,94,95,1.45,BR,1615590544
Hofn,64.2539,-15.2082,275.41,57,100,12.13,IS,1615590545
Aksarka,66.5606,67.7975,263.71,76,100,10.84,RU,1615590546
Golyshmanovo,56.3979,68.3728,251.75,96,24,4.76,RU,1615590547
Ejido,8.5514,-71.2375,293.03,92,84,1.59,VE,1615590547
Kayes,14.0,-11.0,298.26,12,0,4.5,ML,1615590548
New Norfolk,-42.7826,147.0587,294.46,53,75,6.17,AU,1615590549
Longyan,25.1072,117.0225,290.06,96,90,0.47,CN,1615590418
Yellowknife,62.456,-114.3525,259.05,61,40,8.23,CA,1615590527
Maniitsoq,65.4167,-52.9,263.9,80,100,3.34,GL,1615590551
Roald,62.5833,6.1333,277.72,70,40,4.63,NO,1615590552
Tabou,4.423,-7.3528,298.92,89,76,2.72,CI,1615590552
Okhotsk,59.3833,143.3,252.4,64,0,8.65,RU,1615590553
Constitución,-35.3333,-72.4167,289.39,70,3,3.32,CL,1615590550
Koygorodok,60.445,50.9968,258.53,95,7,3.13,RU,1615590555
Front Royal,38.9182,-78.1944,290.86,29,1,6.69,US,1615590446
Beloha,-25.1667,45.05,296.03,73,0,7.2,MG,1615590556
Union City,37.5958,-122.0192,290.3,48,1,5.66,US,1615590265
Waingapu,-9.6567,120.2641,299.33,81,100,1.82,ID,1615590558
Quartucciu,39.2519,9.1794,284.32,100,20,1.54,IT,1615590559
Mackay,-21.15,149.2,299.26,88,75,2.06,AU,1615590559
Semey,50.4111,80.2275,261.84,93,100,8.65,KZ,1615590560
Hong Kong,22.2855,114.1577,292.34,84,87,0.45,HK,1615590561
Toora-Khem,52.4675,96.11,268.6,88,99,1.45,RU,1615590562
Forbes,-33.3833,148.0167,299.26,71,0,3.58,AU,1615590562
Richards Bay,-28.783,32.0377,295.53,95,3,2.85,ZA,1615590563
Cap-aux-Meules,47.3821,-61.8597,274.15,75,37,8.23,CA,1615590564
Belle Fourche,44.6714,-103.8522,283.02,43,90,5.14,US,1615590565
Taksimo,56.3444,114.8794,263.7,94,100,0.82,RU,1615590565
Saint-François,46.4154,3.9054,279.94,76,0,2.57,FR,1615590566
Mount Gambier,-37.8333,140.7667,288.15,94,75,6.69,AU,1615590348
Kousséri,12.0769,15.0306,301.15,18,14,1.03,CM,1615590567
Rio Branco do Sul,-25.19,-49.3142,292.94,100,6,2.24,BR,1615590568
Poltavka,54.3663,71.7632,252.36,95,97,5.14,RU,1615590570
Port Augusta,-32.5,137.7667,292.67,78,90,7.2,AU,1615590571
Upernavik,72.7868,-56.1549,254.46,67,18,1.02,GL,1615590572
Chokurdakh,70.6333,147.9167,243.68,99,5,1.15,RU,1615590572
Ranong,9.9658,98.6348,296.82,90,1,1.99,TH,1615590573
Severo-Yeniseyskiy,60.3725,93.0408,256.23,94,96,4.12,RU,1615590574
Tura,25.5198,90.2201,293.17,56,0,1.2,IN,1615590575
Cap Malheureux,-19.9842,57.6142,297.04,76,99,1.34,MU,1615590575
Paramonga,-10.6667,-77.8333,296.66,77,14,3.48,PE,1615590576
Tezu,27.9167,96.1667,293.09,53,0,1.6,IN,1615590577
Kuchinarai,16.541,104.05,295.15,78,0,2.06,TH,1615590578
Khanbari,27.3747,87.2039,288.87,40,0,1.63,NP,1615590579
Araouane,18.9048,-3.5265,292.61,24,0,4.9,ML,1615590579
Ribeira Grande,38.5167,-28.7,288.74,82,100,7.36,PT,1615590581
Isangel,-19.55,169.2667,300.15,83,75,2.57,VU,1615590581
Oranjestad,12.524,-70.027,300.15,69,20,6.69,AW,1615590582
St. Pete Beach,27.7253,-82.7412,296.56,50,1,3.6,US,1615590583
Atuona,-9.8,-139.0333,299.29,63,22,1.06,PF,1615590584
Karatau,43.1667,70.4667,268.66,96,100,5.04,KZ,1615590486
Visby,57.6409,18.296,276.18,87,20,7.72,SE,1615590585
Mahébourg,-20.4081,57.7,299.15,73,40,3.09,MU,1615590586
Dawei,14.0833,98.2,296.51,86,2,1.42,MM,1615590586
Boffa,10.1667,-14.0333,297.22,82,19,1.55,GN,1615590587
Rugby,52.3709,-1.2642,279.02,91,100,1.34,GB,1615590424
Cam Ranh,11.9214,109.1591,296.15,73,20,2.57,VN,1615590589
Dali,25.7,100.1833,281.56,65,0,0.81,CN,1615590589
Mitú,1.1983,-70.1733,296.36,97,100,1.02,CO,1615590590
Peniche,39.3558,-9.3811,283.51,85,99,0.45,PT,1615590591
Bolshevik,54.0065,27.5692,273.93,100,90,3.0,BY,1615590592
Broome,42.2506,-75.833,282.15,21,1,6.17,US,1615590592
Qasigiannguit,68.8193,-51.1922,260.15,66,49,1.25,GL,1615590593
Kapaa,22.0752,-159.319,295.89,88,90,9.26,US,1615590594
Dikson,73.5069,80.5464,249.52,92,100,7.93,RU,1615590595
Puerto El Triunfo,13.2833,-88.55,303.15,66,20,3.09,SV,1615590595
Luganville,-15.5333,167.1667,301.17,80,75,5.38,VU,1615590596
Nurota,40.5614,65.6886,277.15,81,100,5.14,UZ,1615590597
Alice Springs,-23.7,133.8833,296.15,88,75,3.6,AU,1615590598
Maraã,-1.8333,-65.3667,297.28,94,82,0.77,BR,1615590599
Helena,46.5927,-112.0361,281.64,29,1,4.63,US,1615590600
Tucupita,9.0622,-62.051,296.29,94,64,1.93,VE,1615590601
Saint George,37.1041,-113.5841,279.23,75,90,3.09,US,1615590491
Naftalan,40.5067,46.825,274.15,93,75,2.06,AZ,1615590603
Eyl,7.9803,49.8164,296.58,82,0,4.58,SO,1615590604
São Félix do Xingu,-6.6447,-51.995,296.67,92,52,0.41,BR,1615590605
The Valley,18.217,-63.0578,298.43,78,20,2.06,AI,1615590606
João Pinheiro,-17.7425,-46.1725,295.3,83,75,1.17,BR,1615590607
Talnakh,69.4865,88.3972,250.51,97,100,8.25,RU,1615590607
Airai,-8.9266,125.4092,291.01,84,30,0.5,TL,1615590609
Padang,-0.9492,100.3543,296.15,100,75,1.03,ID,1615590609
Ayan,56.45,138.1667,263.76,79,16,1.13,RU,1615590610
São João da Barra,-21.6403,-41.0511,298.2,88,98,3.86,BR,1615590611
Bam,29.106,58.357,292.76,26,5,4.24,IR,1615590612
Galle,6.0367,80.217,296.89,86,32,2.15,LK,1615590612
Newberry,34.2746,-81.6187,296.83,38,1,2.06,US,1615590613
Vila Velha,-20.3297,-40.2925,299.94,78,0,5.14,BR,1615590614
Foam Lake,51.65,-103.5343,276.15,65,100,7.72,CA,1615590615
Saskylakh,71.9167,114.0833,243.53,91,49,5.27,RU,1615590615
Marzuq,14.4,46.4667,287.88,26,8,2.24,YE,1615590616
Lavrentiya,65.5833,-171.0,264.19,93,100,8.6,RU,1615590618
Marsá Maţrūḩ,31.3525,27.2453,288.15,55,40,5.66,EG,1615590618
Labuan,5.2767,115.2417,298.15,94,20,2.06,MY,1615590619
Sundby,54.864,11.793,277.02,100,91,9.67,DK,1615590620
Khatanga,71.9667,102.5,241.94,83,64,3.97,RU,1615590621
Severo-Kuril'sk,50.6789,156.125,268.72,67,89,14.12,RU,1615590621
Kuopio,62.8924,27.677,266.15,93,90,2.06,FI,1615590622
Shuyskoye,59.3736,41.0305,263.32,91,99,6.07,RU,1615590623
Ogaminana,7.5946,6.2248,299.4,78,77,5.07,NG,1615590491
Bilibino,68.0546,166.4372,258.3,95,100,0.75,RU,1615590624
Narsaq,60.9167,-46.05,263.15,62,75,4.63,GL,1615590625
Rantauprapat,2.1,99.8333,295.57,96,73,0.75,ID,1615590626
Masty,53.4122,24.5387,273.13,91,58,4.59,BY,1615590626
Codrington,-38.2667,141.9667,290.39,94,100,5.91,AU,1615590627
Florø,61.5996,5.0328,277.15,87,75,7.72,NO,1615590628
Bira,49.0,132.4667,268.59,82,0,1.44,RU,1615590629
Agudos,-22.4692,-48.9875,295.17,75,10,1.03,BR,1615590630
Goma,-1.6792,29.2228,290.5,82,99,1.37,CD,1615590428
Anadyr,64.75,177.4833,272.09,93,40,14.0,RU,1615590631
Rio de Janeiro,-22.9028,-43.2075,299.66,89,75,4.63,BR,1615590222
Bilma,18.6853,12.9164,299.78,5,0,5.66,NE,1615590632
Cabo San Lucas,22.8909,-109.9124,297.31,36,40,3.6,MX,1615590633
Lethem,3.3803,-59.7968,297.72,83,96,4.66,GY,1615590634
Chenzhou,25.8,113.0333,287.69,93,90,0.48,CN,1615590635
Lufilufi,-13.8745,-171.5986,304.44,70,75,2.57,WS,1615590635
Manono,-7.3,27.4167,294.12,93,100,1.29,CD,1615590636
Caramay,10.1815,119.236,297.58,93,100,3.52,PH,1615590637
Lebu,-37.6167,-73.65,288.28,83,0,7.36,CL,1615590638
Avilés,43.5547,-5.9248,283.0,76,20,2.57,ES,1615590360
Pervomayskoye,43.919,46.7102,268.56,85,79,4.47,RU,1615590639
Hasaki,35.7333,140.8333,285.64,94,75,4.12,JP,1615590640
Øksfjord,70.2396,22.3479,267.88,68,90,5.14,NO,1615590640
Kahului,20.8947,-156.47,297.39,73,40,6.69,US,1615590641
Soyo,-6.1349,12.3689,300.01,83,99,3.63,AO,1615590642
Tarnos,43.5417,-1.4628,280.73,81,0,2.06,FR,1615590643
San Jose,37.3394,-121.895,291.32,32,20,4.63,US,1615590422
Dolinsk,47.35,142.8,270.15,80,0,1.0,RU,1615590644
Turaif,31.6725,38.6637,280.15,100,0,5.14,SA,1615590645
Tiarei,-17.5333,-149.3333,303.93,66,40,4.12,PF,1615590646
Trelew,-43.249,-65.3051,296.42,28,0,4.85,AR,1615590562
Tacoronte,28.4769,-16.4102,288.28,69,100,4.63,ES,1615590647
Caravelas,-17.7125,-39.2481,296.46,80,0,2.65,BR,1615590648
Makat,47.6469,53.3463,262.1,61,100,4.4,KZ,1615590649
Amoy,24.4798,118.0819,291.15,68,75,3.0,CN,1615590607
Rāvar,31.2656,56.8055,292.36,30,12,16.45,IR,1615590650
Port Blair,11.6667,92.75,299.51,68,53,2.83,IN,1615590651
Wailuku,20.8911,-156.5047,297.94,73,40,6.69,US,1615590651
Souillac,-20.5167,57.5167,299.15,73,40,3.09,MU,1615590652
Grand Gaube,-20.0064,57.6608,297.04,76,99,1.34,MU,1615590653
Kānt,27.8,79.8,291.71,51,100,2.71,IN,1615590654
Baicheng,45.6167,122.8167,272.82,52,0,3.06,CN,1615590654
Ajdabiya,30.7554,20.2263,286.07,55,0,3.41,LY,1615590655
Newport,51.5877,-2.9984,279.54,90,100,0.89,GB,1615590407
Tomatlán,19.9333,-105.25,304.03,30,0,3.22,MX,1615590658
San Cristobal,7.7669,-72.225,300.15,61,40,2.06,VE,1615590659
Santiago del Estero,-27.7951,-64.2615,299.84,44,12,3.4,AR,1615590660
Oytal,42.9057,73.2697,278.39,87,100,2.32,KZ,1615590661
Vanimo,-2.6741,141.3028,300.53,82,52,1.45,PG,1615590661
Mirny,62.5353,113.9611,260.4,94,100,4.23,RU,1615590662
Ponnāni,10.767,75.9252,297.15,83,40,2.12,IN,1615590663
Tegul'det,57.3064,88.1667,253.29,99,98,2.13,RU,1615590664
Vaitape,-16.5167,-151.75,301.46,65,48,1.5,PF,1615590664
Norrtälje,59.758,18.705,276.76,81,75,5.66,SE,1615590586
Yatou,37.15,122.3833,278.8,66,66,2.23,CN,1615590448
Corrente,-3.7367,-43.3394,296.2,97,100,1.18,BR,1615590667
Shingū,33.7333,135.9833,285.15,94,75,6.17,JP,1615590668
Santiago,-33.4569,-70.6483,299.04,36,0,4.12,CL,1615589912
Alofi,-19.0595,-169.9187,301.15,74,12,3.09,NU,1615590669
Bonthe,7.5264,-12.505,300.15,81,71,4.83,SL,1615590670
Ponta do Sol,32.6667,-17.1,284.95,69,86,0.45,PT,1615590671
Mīzan Teferī,6.9833,35.5833,293.63,55,63,1.32,ET,1615590671
Batagay-Alyta,67.8006,130.4114,243.71,67,31,1.34,RU,1615590674
Funadhoo,6.15,73.2667,301.51,74,18,6.34,MV,1615590675
Emerald,-23.5333,148.1667,299.45,73,15,4.12,AU,1615590675
Malbork,54.0359,19.0266,273.49,100,67,4.99,PL,1615590664
Slave Lake,55.2834,-114.769,276.15,65,90,1.03,CA,1615590677
Pandan,14.0453,124.1694,298.95,87,99,8.08,PH,1615590677
Susanville,40.4163,-120.653,285.15,12,1,3.09,US,1615590678
Olafsvik,64.8945,-23.7142,271.66,75,62,9.57,IS,1615590679
Ulladulla,-35.35,150.4667,294.39,94,90,3.6,AU,1615590680
Leningradskiy,69.3833,178.4167,264.08,83,100,4.29,RU,1615590681
Outjo,-20.1167,16.15,292.97,68,8,1.97,NA,1615590682
Norman Wells,65.282,-126.8329,254.15,60,90,8.23,CA,1615590682
Rāwah,34.4816,41.9093,282.61,30,0,8.67,IQ,1615590683
Moyale,3.5167,39.0584,294.28,47,84,3.26,KE,1615590684
Ust'-Kalmanka,52.1207,83.305,263.51,95,100,3.62,RU,1615590685
Nioro,13.35,-15.75,299.87,11,1,3.67,GM,1615590686
Linqu,36.5156,118.5397,283.15,70,79,1.59,CN,1615590686
Salalah,17.0151,54.0924,295.15,78,0,1.03,OM,1615590665
Lagoa,39.05,-27.9833,287.88,88,100,7.62,PT,1615590688
Fort-Shevchenko,44.5086,50.263,268.8,51,100,6.08,KZ,1615590689
Paita,-5.0892,-81.1144,301.15,57,0,4.12,PE,1615590690
Ust-Tsilma,65.441,52.1498,262.46,88,18,3.74,RU,1615590691
Baker City,44.7749,-117.8344,280.13,26,1,4.63,US,1615590692
Sijunjung,-0.6876,100.9537,294.61,98,99,0.19,ID,1615590693
Calvià,39.5657,2.5062,285.96,52,78,0.89,ES,1615590694
Ugep,5.8086,8.0812,300.49,69,82,3.26,NG,1615590695
Faanui,-16.4833,-151.75,301.46,65,46,1.48,PF,1615590695
Mitsamiouli,-11.3847,43.2844,300.96,68,99,0.88,KM,1615590696
Vardø,70.3705,31.1107,267.19,74,75,5.14,NO,1615590697
Point Pedro,9.8167,80.2333,299.56,77,41,6.15,LK,1615590698
Kamenka,51.3223,42.7678,260.93,84,42,4.77,RU,1615590699
Ipameri,-17.7219,-48.1597,294.71,87,30,1.89,BR,1615590699
Shitanjing,39.2342,106.3439,278.19,39,4,4.16,CN,1615590701
Hobyo,5.3505,48.5268,298.29,82,58,5.7,SO,1615590701
Dalvik,65.9702,-18.5286,272.15,80,75,4.63,IS,1615590702
Udaipura,23.0833,78.5,294.01,59,75,5.49,IN,1615590703
Gonbad-e Kāvūs,37.25,55.1672,279.0,91,100,6.3,IR,1615590704
Barra do Garças,-15.89,-52.2567,298.15,78,75,1.03,BR,1615590605
Talara,-4.5772,-81.2719,301.15,57,0,4.12,PE,1615590705
Lazarev,52.225,141.5131,268.38,78,0,2.98,RU,1615590706
Lotoshino,56.2267,35.6414,266.51,87,100,7.12,RU,1615590707
Gemeente Woensdrecht,51.4163,4.337,280.44,81,90,6.17,NL,1615590707
Dargaville,-35.9333,173.8833,294.92,68,32,3.89,NZ,1615590594
Sulangan,11.1373,123.7228,299.91,81,100,4.17,PH,1615590709
Grand-Santi,4.25,-54.3833,295.43,99,100,0.9,GF,1615590710
Tommot,58.9564,126.2925,262.01,90,53,4.24,RU,1615590710
Ust-Maya,60.4167,134.5333,257.87,95,98,1.37,RU,1615590711
Yangi Marg`ilon,40.4272,71.7189,283.15,66,40,5.14,UZ,1615590712
Benghazi,32.1167,20.0667,286.43,59,63,3.54,LY,1615590713
Morón,-34.6534,-58.6198,296.72,70,0,8.05,AR,1615590713
Bac Lieu,9.285,105.7244,298.44,78,1,6.41,VN,1615590469
Kailua,21.4022,-157.7394,298.62,65,75,4.63,US,1615590715
Dukat,62.55,155.55,250.55,94,100,2.87,RU,1615590716
